REGION,YEAR,Month,Rainfall,Temperature,Month_Num,Time,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_3,Rainfall_lag_12,Temperature_lag_1,Temperature_lag_2,Temperature_lag_3,Temperature_lag_12
Central,2019,JUN,0.3753333333333333,34.39266666666667,6,353,0.044,0.0003333333333333,0.0,0.6993333333333334,34.233333333333334,30.394,27.458,32.87444444444444
Central,2019,JUL,0.63,33.342777777777776,7,354,0.3753333333333333,0.044,0.0003333333333333,2.89,34.39266666666667,34.233333333333334,30.394,31.24777777777778
Central,2019,AUG,3.5743333333333336,30.26211111111112,8,355,0.63,0.3753333333333333,0.044,2.081,33.342777777777776,34.39266666666667,34.233333333333334,30.151777777777777
Central,2019,SEP,1.0096666666666667,31.104222222222223,9,356,3.5743333333333336,0.63,0.3753333333333333,0.607,30.26211111111112,33.342777777777776,34.39266666666667,31.571
Central,2019,OCT,1.3533333333333333,29.250444444444444,10,357,1.0096666666666667,3.5743333333333336,0.63,0.2963333333333333,31.104222222222223,30.26211111111112,33.342777777777776,31.31211111111111
Central,2019,NOV,0.0103333333333333,27.192222222222224,11,358,1.3533333333333333,1.0096666666666667,3.5743333333333336,0.0003333333333333,29.250444444444444,31.104222222222223,30.26211111111112,26.119222222222223
Central,2019,DEC,0.003,22.79288888888889,12,359,0.0103333333333333,1.3533333333333333,1.0096666666666667,0.0,27.192222222222224,29.250444444444444,31.104222222222223,23.421
Central,2020,JAN,0.0,20.68244444444445,1,360,0.003,0.0103333333333333,1.3533333333333333,0.0,22.79288888888889,27.192222222222224,29.250444444444444,25.354222222222223
Central,2020,FEB,0.0006666666666666,22.592666666666663,2,361,0.0,0.003,0.0103333333333333,0.0023333333333333,20.68244444444445,22.79288888888889,27.192222222222224,25.67611111111111
Central,2020,MAR,0.0,28.386,3,362,0.0006666666666666,0.0,0.003,0.0,22.592666666666663,20.68244444444445,22.79288888888889,27.458
Central,2020,APR,0.0,30.454444444444444,4,363,0.0,0.0006666666666666,0.0,0.0003333333333333,28.386,22.592666666666663,20.68244444444445,30.394
Central,2020,MAY,0.2013333333333333,32.41011111111111,5,364,0.0,0.0,0.0006666666666666,0.044,30.454444444444444,28.386,22.592666666666663,34.233333333333334
Central,2020,JUN,0.3086666666666666,34.23144444444444,6,365,0.2013333333333333,0.0,0.0,0.3753333333333333,32.41011111111111,30.454444444444444,28.386,34.39266666666667
Central,2020,JUL,2.597,31.98511111111111,7,366,0.3086666666666666,0.2013333333333333,0.0,0.63,34.23144444444444,32.41011111111111,30.454444444444444,33.342777777777776
Central,2020,AUG,5.404333333333333,28.90211111111111,8,367,2.597,0.3086666666666666,0.2013333333333333,3.5743333333333336,31.98511111111111,34.23144444444444,32.41011111111111,30.26211111111112
Central,2020,SEP,2.139,29.579,9,368,5.404333333333333,2.597,0.3086666666666666,1.0096666666666667,28.90211111111111,31.98511111111111,34.23144444444444,31.104222222222223
Central,2020,OCT,0.1683333333333333,29.27688888888889,10,369,2.139,5.404333333333333,2.597,1.3533333333333333,29.579,28.90211111111111,31.98511111111111,29.250444444444444
Central,2020,NOV,0.0106666666666666,25.48511111111111,11,370,0.1683333333333333,2.139,5.404333333333333,0.0103333333333333,29.27688888888889,29.579,28.90211111111111,27.192222222222224
Central,2020,DEC,0.0003333333333333,24.02911111111111,12,371,0.0106666666666666,0.1683333333333333,2.139,0.003,25.48511111111111,29.27688888888889,29.579,22.79288888888889
Central,2021,JAN,0.005,23.799666666666663,1,372,0.0003333333333333,0.0106666666666666,0.1683333333333333,0.0,24.02911111111111,25.48511111111111,29.27688888888889,20.68244444444445
Central,2021,FEB,0.0,24.526000000000003,2,373,0.005,0.0003333333333333,0.0106666666666666,0.0006666666666666,23.799666666666663,24.02911111111111,25.48511111111111,22.592666666666663
Central,2021,MAR,0.0,28.71677777777778,3,374,0.0,0.005,0.0003333333333333,0.0,24.526000000000003,23.799666666666663,24.02911111111111,28.386
Central,2021,APR,0.0203333333333333,30.82988888888889,4,375,0.0,0.0,0.005,0.0,28.71677777777778,24.526000000000003,23.799666666666663,30.454444444444444
Central,2021,MAY,0.6813333333333333,33.06455555555556,5,376,0.0203333333333333,0.0,0.0,0.2013333333333333,30.82988888888889,28.71677777777778,24.526000000000003,32.41011111111111
Central,2021,JUN,0.2996666666666667,35.24755555555556,6,377,0.6813333333333333,0.0203333333333333,0.0,0.3086666666666666,33.06455555555556,30.82988888888889,28.71677777777778,34.23144444444444
Central,2021,JUL,5.107,30.3,7,378,0.2996666666666667,0.6813333333333333,0.0203333333333333,2.597,35.24755555555556,33.06455555555556,30.82988888888889,31.98511111111111
Central,2021,AUG,5.621333333333333,28.964111111111112,8,379,5.107,0.2996666666666667,0.6813333333333333,5.404333333333333,30.3,35.24755555555556,33.06455555555556,28.90211111111111
Central,2021,SEP,2.3516666666666666,29.04177777777778,9,380,5.621333333333333,5.107,0.2996666666666667,2.139,28.964111111111112,30.3,35.24755555555556,29.579
Central,2021,OCT,0.1213333333333333,29.52611111111111,10,381,2.3516666666666666,5.621333333333333,5.107,0.1683333333333333,29.04177777777778,28.964111111111112,30.3,29.27688888888889
Central,2021,NOV,0.0233333333333333,27.329444444444444,11,382,0.1213333333333333,2.3516666666666666,5.621333333333333,0.0106666666666666,29.52611111111111,29.04177777777778,28.964111111111112,25.48511111111111
Central,2021,DEC,0.0403333333333333,23.654333333333334,12,383,0.0233333333333333,0.1213333333333333,2.3516666666666666,0.0003333333333333,27.329444444444444,29.52611111111111,29.04177777777778,24.02911111111111
Central,2022,JAN,0.0076666666666666,22.51377777777778,1,384,0.0403333333333333,0.0233333333333333,0.1213333333333333,0.005,23.654333333333334,27.329444444444444,29.52611111111111,23.799666666666663
Central,2022,FEB,0.0,22.223,2,385,0.0076666666666666,0.0403333333333333,0.0233333333333333,0.0,22.51377777777778,23.654333333333334,27.329444444444444,24.526000000000003
Central,2022,MAR,0.0106666666666666,27.281111111111112,3,386,0.0,0.0076666666666666,0.0403333333333333,0.0,22.223,22.51377777777778,23.654333333333334,28.71677777777778
Central,2022,APR,0.0273333333333333,33.19,4,387,0.0106666666666666,0.0,0.0076666666666666,0.0203333333333333,27.281111111111112,22.223,22.51377777777778,30.82988888888889
Central,2022,MAY,0.037,34.27233333333333,5,388,0.0273333333333333,0.0106666666666666,0.0,0.6813333333333333,33.19,27.281111111111112,22.223,33.06455555555556
Central,2022,JUN,0.8646666666666667,33.660333333333334,6,389,0.037,0.0273333333333333,0.0106666666666666,0.2996666666666667,34.27233333333333,33.19,27.281111111111112,35.24755555555556
Central,2022,JUL,4.149666666666667,30.637,7,390,0.8646666666666667,0.037,0.0273333333333333,5.107,33.660333333333334,34.27233333333333,33.19,30.3
Central,2022,AUG,3.0563333333333333,29.04955555555556,8,391,4.149666666666667,0.8646666666666667,0.037,5.621333333333333,30.637,33.660333333333334,34.27233333333333,28.964111111111112
Central,2022,SEP,2.337333333333333,29.168777777777777,9,392,3.0563333333333333,4.149666666666667,0.8646666666666667,2.3516666666666666,29.04955555555556,30.637,33.660333333333334,29.04177777777778
Central,2022,OCT,0.4036666666666667,29.209,10,393,2.337333333333333,3.0563333333333333,4.149666666666667,0.1213333333333333,29.168777777777777,29.04955555555556,30.637,29.52611111111111
Central,2022,NOV,0.0,26.136,11,394,0.4036666666666667,2.337333333333333,3.0563333333333333,0.0233333333333333,29.209,29.168777777777777,29.04955555555556,27.329444444444444
Central,2022,DEC,0.001,23.295222222222225,12,395,0.0,0.4036666666666667,2.337333333333333,0.0403333333333333,26.136,29.209,29.168777777777777,23.654333333333334
Central,2023,JAN,0.0,23.44511111111111,1,396,0.001,0.0,0.4036666666666667,0.0076666666666666,23.295222222222225,26.136,29.209,22.51377777777778
Central,2023,FEB,0.0,24.19877777777777,2,397,0.0,0.001,0.0,0.0,23.44511111111111,23.295222222222225,26.136,22.223
Central,2023,MAR,0.0,27.713444444444445,3,398,0.0,0.0,0.001,0.0106666666666666,24.19877777777777,23.44511111111111,23.295222222222225,27.281111111111112
Central,2023,APR,0.0126666666666666,30.31,4,399,0.0,0.0,0.0,0.0273333333333333,27.713444444444445,24.19877777777777,23.44511111111111,33.19
Central,2023,MAY,0.0673333333333333,33.00988888888889,5,400,0.0126666666666666,0.0,0.0,0.037,30.31,27.713444444444445,24.19877777777777,34.27233333333333
Central,2023,JUN,0.957,34.02188888888889,6,401,0.0673333333333333,0.0126666666666666,0.0,0.8646666666666667,33.00988888888889,30.31,27.713444444444445,33.660333333333334
Central,2023,JUL,1.0566666666666666,33.604,7,402,0.957,0.0673333333333333,0.0126666666666666,4.149666666666667,34.02188888888889,33.00988888888889,30.31,30.637
Central,2023,AUG,4.905333333333333,30.78033333333333,8,403,1.0566666666666666,0.957,0.0673333333333333,3.0563333333333333,33.604,34.02188888888889,33.00988888888889,29.04955555555556
Central,2023,SEP,1.0246666666666666,31.244333333333337,9,404,4.905333333333333,1.0566666666666666,0.957,2.337333333333333,30.78033333333333,33.604,34.02188888888889,29.168777777777777
Central,2023,OCT,0.6443333333333333,31.913444444444444,10,405,1.0246666666666666,4.905333333333333,1.0566666666666666,0.4036666666666667,31.244333333333337,30.78033333333333,33.604,29.209
