PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,REGION
PRECTOTCORR,1990,14.0,31.25,0.0,0.0,0.0,0.0,0.0,0.05,3.18,0.85,0.49,0.18,0.0,0.0,0.4,Central
PRECTOTCORR,1990,14.0,31.875,0.0,0.0,0.0,0.0,0.0,0.05,3.26,0.93,0.54,0.24,0.0,0.0,0.42,Central
PRECTOTCORR,1990,14.0,32.5,0.0,0.0,0.0,0.0,0.0,0.04,2.84,1.16,0.88,0.76,0.0,0.0,0.48,Central
PRECTOTCORR,1990,14.0,33.125,0.0,0.0,0.0,0.0,0.01,0.05,2.69,1.31,1.08,1.12,0.0,0.0,0.53,Central
PRECTOTCORR,1990,14.0,33.75,0.0,0.0,0.0,0.0,0.01,0.11,3.24,1.61,1.46,1.41,0.0,0.0,0.66,Central
PRECTOTCORR,1990,14.5,31.25,0.0,0.0,0.0,0.0,0.0,0.04,2.57,0.46,0.25,0.22,0.0,0.0,0.3,Central
PRECTOTCORR,1990,14.5,31.875,0.0,0.0,0.0,0.0,0.0,0.03,2.62,0.5,0.31,0.23,0.0,0.0,0.31,Central
PRECTOTCORR,1990,14.5,32.5,0.0,0.0,0.0,0.0,0.0,0.03,2.11,0.77,0.76,1.02,0.0,0.0,0.4,Central
PRECTOTCORR,1990,14.5,33.125,0.0,0.0,0.0,0.0,0.01,0.03,1.94,0.85,0.86,1.1,0.0,0.0,0.4,Central
PRECTOTCORR,1990,14.5,33.75,0.0,0.0,0.0,0.0,0.01,0.06,2.55,1.22,1.28,1.53,0.0,0.0,0.56,Central
PRECTOTCORR,1990,15.0,31.25,0.0,0.0,0.0,0.0,0.01,0.04,2.22,0.26,0.14,0.16,0.0,0.0,0.24,Central
PRECTOTCORR,1990,15.0,31.875,0.0,0.0,0.0,0.0,0.0,0.07,2.06,0.17,0.24,0.16,0.0,0.0,0.23,Central
PRECTOTCORR,1990,15.0,32.5,0.0,0.0,0.0,0.0,0.0,0.03,1.37,0.37,0.53,0.5,0.0,0.0,0.24,Central
