DATE,REGION,Predicted_Rainfall,Predicted_Temperature
2025-01-01,Central,0.0010683333333333304,23.082401666666673
2025-02-01,Central,0.000856666666666665,23.463490555555556
2025-03-01,Central,0.0034883333333333003,25.922989444444433
2025-04-01,Central,0.04965333333333327,30.62804222222217
2025-05-01,Central,0.21552999999999994,30.345722777777755
2025-06-01,Central,0.44321333333333257,30.579423333333303
2025-07-01,Central,1.968026666666668,30.23570999999996
2025-08-01,Central,2.9673916666666678,26.61364499999999
2025-09-01,Central,1.7118400000000014,30.073852222222218
2025-10-01,Central,0.22775166666666652,30.030687777777793
2025-11-01,Central,0.09867333333333325,25.538574444444468
2025-12-01,Central,0.003586666666666641,23.67019666666668
2026-01-01,Central,0.0030883333333333127,23.029206666666692
2026-02-01,Central,0.0030566666666666433,23.493554999999994
2026-03-01,Central,0.003911666666666636,25.269512222222257
2026-04-01,Central,0.06816666666666663,30.734601666666634
2026-05-01,Central,0.3328566666666665,30.3268683333333
2026-06-01,Central,0.4442999999999995,30.405970555555527
2026-07-01,Central,1.7164866666666665,30.230673888888862
2026-08-01,Central,2.064586666666666,26.704052222222213
2026-09-01,Central,1.5075933333333333,30.36096666666665
2026-10-01,Central,0.3620149999999998,30.401308888888913
2026-11-01,Central,0.16408833333333342,25.633537222222227
2026-12-01,Central,0.0030683333333333097,23.70094555555558
2027-01-01,Central,0.002793333333333314,22.715893333333366
2027-02-01,Central,0.0031266666666666383,23.19596555555555
2027-03-01,Central,0.003908333333333303,23.51076166666664
2027-04-01,Central,0.08321833333333331,30.14226166666664
2027-05-01,Central,0.3659583333333332,30.40876166666665
2027-06-01,Central,0.4540216666666662,30.33932111111109
2027-07-01,Central,1.6273133333333327,30.343276111111106
2027-08-01,Central,1.9137349999999997,26.74997722222221
2027-09-01,Central,1.5975750000000004,30.344331111111106
2027-10-01,Central,0.3657433333333333,30.379176666666677
2027-11-01,Central,0.18283666666666665,25.64957888888889
2027-12-01,Central,0.0032483333333333075,23.71751500000002
2028-01-01,Central,0.003101666666666646,22.854742777777805
2028-02-01,Central,0.003074999999999973,23.160978333333333
2028-03-01,Central,0.003656666666666637,24.080591666666663
2028-04-01,Central,0.07186166666666667,30.13755999999998
2028-05-01,Central,0.3327083333333333,30.364773333333318
2028-06-01,Central,0.45619166666666616,30.33757999999998
2028-07-01,Central,1.640078333333333,30.33023444444444
2028-08-01,Central,1.8950833333333328,26.785687222222222
2028-09-01,Central,1.6049100000000005,30.35088277777777
2028-10-01,Central,0.363375,30.379616666666674
2028-11-01,Central,0.29391166666666674,25.64957888888889
2028-12-01,Central,0.003194999999999975,23.625860555555573
2029-01-01,Central,0.002781666666666646,22.853873333333354
2029-02-01,Central,0.0030199999999999745,23.26095888888889
2029-03-01,Central,0.0036799999999999706,24.11231944444444
2029-04-01,Central,0.0753816666666667,30.136413333333312
2029-05-01,Central,0.35408666666666655,30.37264888888887
2029-06-01,Central,0.4529166666666662,30.32699555555553
2029-07-01,Central,1.635523333333333,30.327464444444434
2029-08-01,Central,1.8910299999999993,26.72574055555555
2029-09-01,Central,1.6023650000000003,30.35088277777777
2029-10-01,Central,0.3677533333333332,30.379176666666677
2029-11-01,Central,0.5086616666666665,25.64957888888889
