REGION,YEAR,LAT_RAIN,LON_RAIN,JAN_RAIN,FEB_RAIN,MAR_RAIN,APR_RAIN,MAY_RAIN,JUN_RAIN,JUL_RAIN,AUG_RAIN,SEP_RAIN,OCT_RAIN,NOV_RAIN,DEC_RAIN,ANN_RAIN,LAT_TEMP,LON_TEMP,JAN_TEMP,FEB_TEMP,MAR_TEMP,APR_TEMP,MAY_TEMP,JUN_TEMP,JUL_TEMP,AUG_TEMP,SEP_TEMP,OCT_TEMP,NOV_TEMP,DEC_TEMP,ANN_TEMP
Central,1990,15.25,32.5,0.0,0.0,0.0,0.0,0.002,0.02666666666666667,1.3873333333333333,0.42933333333333334,0.44,0.38699999999999996,0.0,0.0,0.22566666666666668,15.25,32.5,23.057666666666666,22.017999999999997,25.14477777777778,30.844666666666665,33.96022222222222,33.907000000000004,32.037444444444446,32.39511111111111,32.977666666666664,32.43644444444444,29.21033333333333,27.665444444444443,28.028111111111112
Central,1991,15.25,32.5,0.0,0.0,0.0,0.04733333333333333,0.21600000000000003,0.03666666666666667,0.7133333333333333,1.0873333333333333,0.20233333333333334,0.16733333333333336,0.0023333333333333335,0.0,0.20966666666666667,15.25,32.5,22.685222222222222,24.895333333333333,27.80888888888889,33.13755555555556,35.484,34.458777777777776,32.99122222222222,31.91133333333333,33.06055555555555,32.26977777777778,27.483222222222224,22.874888888888886,28.717444444444446
Central,1992,15.25,32.5,0.0,0.0,0.0,0.003,0.29233333333333333,0.145,1.1179999999999999,2.1903333333333332,0.45466666666666666,0.17766666666666667,0.022333333333333334,0.0,0.3716666666666667,15.25,32.5,21.37388888888889,21.33422222222222,27.497888888888887,30.957444444444445,32.86266666666666,33.88766666666667,32.62011111111111,30.592222222222226,31.677111111111113,31.273666666666667,26.608444444444448,21.895444444444443,26.55388888888889
Central,1993,15.25,32.5,0.0,0.0,0.0003333333333333333,0.11933333333333333,0.6463333333333333,0.17366666666666666,3.025,2.957666666666667,1.1286666666666667,0.21066666666666667,0.008666666666666666,0.0006666666666666666,0.6986666666666667,15.25,32.5,22.352777777777778,22.68488888888889,28.22411111111111,30.436333333333334,32.70422222222222,32.95144444444445,31.131555555555558,30.11911111111111,30.464777777777776,30.612666666666666,28.43511111111111,24.960222222222225,26.655666666666665
Central,1994,15.25,32.5,0.0,0.0,0.0,0.0,0.3893333333333333,0.14466666666666667,2.592,1.5566666666666669,2.089,0.6426666666666667,0.008666666666666666,0.0,0.625,15.25,32.5,25.334111111111113,23.299666666666663,26.00111111111111,31.737555555555556,33.06422222222223,33.141777777777776,30.68311111111111,30.624777777777776,31.02177777777778,31.593777777777778,25.942444444444448,22.09388888888889,27.520666666666667
Central,1995,15.25,32.5,0.0,0.0006666666666666666,0.0,0.056666666666666664,0.07233333333333333,0.36466666666666664,3.2723333333333335,2.8423333333333334,1.8373333333333333,0.193,0.011666666666666665,0.0,0.729,15.25,32.5,23.582555555555555,23.936222222222224,27.390555555555558,29.685666666666666,32.28288888888889,34.57655555555555,30.714111111111112,30.191333333333333,30.683444444444447,30.471333333333334,25.699333333333335,23.492,27.908333333333335
Central,1996,15.25,32.5,0.0,0.0006666666666666666,0.0013333333333333333,0.19433333333333333,0.41600000000000004,0.494,2.2103333333333333,3.5566666666666666,1.345,0.3656666666666667,0.01966666666666667,0.0,0.7236666666666667,15.25,32.5,22.223222222222223,25.334666666666667,28.396555555555555,30.383333333333333,34.123555555555555,33.187444444444445,32.02177777777778,30.44622222222222,30.144333333333332,29.22988888888889,26.12088888888889,24.46166666666667,27.379555555555555
Central,1997,15.25,32.5,0.0033333333333333335,0.0,0.005333333333333333,0.01933333333333333,0.36966666666666664,0.553,1.8113333333333335,2.5866666666666664,0.29766666666666663,0.4873333333333333,0.093,0.0,0.5266666666666666,15.25,32.5,22.998444444444445,21.227333333333334,27.612666666666666,30.568555555555555,32.695,33.67144444444444,31.827666666666666,30.986777777777778,32.99744444444445,30.712444444444444,26.748,23.99566666666667,26.999111111111112
Central,1998,15.25,32.5,0.0,0.0,0.0016666666666666668,0.013000000000000001,0.030000000000000002,0.10200000000000001,1.4396666666666667,3.345666666666667,1.377,0.35500000000000004,0.0,0.0,0.5609999999999999,15.25,32.5,21.41911111111111,22.85111111111111,27.107444444444447,31.41133333333333,34.16111111111111,34.760888888888886,31.623,30.639444444444447,30.385666666666665,30.951222222222224,28.58388888888889,24.892666666666667,27.394666666666666
Central,1999,15.25,32.5,0.0,0.0,0.0,0.002,0.368,0.09000000000000001,2.491333333333333,3.631666666666667,1.3963333333333334,0.5943333333333333,0.0006666666666666666,0.0,0.7243333333333334,15.25,32.5,24.050666666666665,29.12366666666667,27.22311111111111,30.871888888888886,34.531,34.55533333333334,30.82933333333333,29.683333333333334,29.822888888888887,29.359666666666666,27.416555555555554,25.348777777777777,28.294555555555558
Central,2000,15.25,32.5,0.0,0.0,0.0,0.01,0.14500000000000002,0.156,0.844,0.917,0.676,0.3316666666666667,0.0,0.0,0.25966666666666666,15.25,32.5,22.285888888888888,24.51811111111111,27.276999999999997,31.214333333333332,33.404111111111106,34.27133333333333,32.77688888888889,32.263666666666666,32.531333333333336,29.779666666666667,27.086,22.525666666666666,27.405333333333335
